ASIN,SKU,count,item_price,sale_price,start,end
B0H85P9F3R,TL-ASHN-ZRKG,24,76.99,66.98,2026-07-20,2026-08-19
B0H85RZDX5,VA-ASOK-QJCA,24,76.99,66.98,2026-07-20,2026-08-19
B0H8628LW3,AN-ASUW-49Y5,24,76.99,66.98,2026-07-20,2026-08-19
B0H86TVN3C,NM-ASEW-S2SK,24,76.99,66.98,2026-07-20,2026-08-19
B0H87748WJ,RS-AS47-M3K3,24,76.99,66.98,2026-07-20,2026-08-19
B0H8219Z7T,GG-ASNC-C9WA,30,85.99,74.81,2026-07-20,2026-08-19
B0H822TJ7C,JS-AS5F-QB8T,30,85.99,74.81,2026-07-20,2026-08-19
B0H82GJ292,GR-AS0R-YPCF,30,85.99,74.81,2026-07-20,2026-08-19
B0H82L3LRT,ZX-AS2C-GT8Q,30,85.99,74.81,2026-07-20,2026-08-19
B0H82LMD9Z,ZH-AS8W-G5MN,30,85.99,74.81,2026-07-20,2026-08-19
B0H82MT74H,EW-ASJ9-E79N,30,85.99,74.81,2026-07-20,2026-08-19
B0H82YMT6K,HU-ASMI-DN3X,30,85.99,74.81,2026-07-20,2026-08-19
B0H835T5HN,TP-AS91-8PAZ,30,85.99,74.81,2026-07-20,2026-08-19
B0H837HLKC,MP-ASZ9-TKE7,30,85.99,74.81,2026-07-20,2026-08-19
B0H891WSZ9,EW-ASWP-PMZX,30,85.99,74.81,2026-07-20,2026-08-19
B0H81WMJBP,XE-ASK1-BNRB,45,130.99,115.27,2026-07-20,2026-08-19
B0H82LKBYH,ZB-ASKL-9W8G,45,130.99,115.27,2026-07-20,2026-08-19
B0H82MSTD9,XJ-ASVD-CDMW,45,130.99,115.27,2026-07-20,2026-08-19
B0H82QYM85,VC-ASQE-L5Z5,45,130.99,115.27,2026-07-20,2026-08-19
B0H82SZSYJ,FV-AS47-EJZW,45,130.99,115.27,2026-07-20,2026-08-19
B0H82YRTS3,XV-ASEU-GDUX,45,130.99,115.27,2026-07-20,2026-08-19
B0H831MXGD,JL-ASUC-JUZE,45,130.99,115.27,2026-07-20,2026-08-19
B0H8361PYX,RR-ASG1-JVKV,45,130.99,115.27,2026-07-20,2026-08-19
B0H83FKSN6,DF-ASQT-BLUQ,45,130.99,115.27,2026-07-20,2026-08-19
B0H82PXWKS,EJ-ASCD-8K87,90,252.99,220.10,2026-07-20,2026-08-19
B0H82XBNVN,WK-AS2R-FJUW,90,252.99,220.10,2026-07-20,2026-08-19
B0H834L7P6,UD-AS9J-QNY6,90,252.99,220.10,2026-07-20,2026-08-19
B0H83B6TYP,QX-ASS6-4T4F,90,252.99,220.10,2026-07-20,2026-08-19
B0H83FYZR3,KP-ASYC-RN84,90,252.99,220.10,2026-07-20,2026-08-19
B0H83HNB3B,RQ-ASM7-T9NN,90,252.99,220.10,2026-07-20,2026-08-19
B0H83QW85C,HD-ASEQ-MFAY,90,252.99,220.10,2026-07-20,2026-08-19
B0H83VBTLT,DA-ASF0-D7RG,90,252.99,220.10,2026-07-20,2026-08-19
B0H83JJW1F,EX-ASC0-5CRL,120,297.99,259.25,2026-07-20,2026-08-19
B0H83MWTM7,AY-AS5F-JEY9,120,297.99,259.25,2026-07-20,2026-08-19
B0H83R4M3R,UY-AS5N-A2E4,120,297.99,259.25,2026-07-20,2026-08-19
B0H83S1LDG,YM-AS7P-ZX44,120,297.99,259.25,2026-07-20,2026-08-19
B0H83T9QZV,ZY-ASZ4-QM5U,120,297.99,259.25,2026-07-20,2026-08-19
B0H83TSB5J,ZC-ASDC-3QMV,120,297.99,259.25,2026-07-20,2026-08-19
B0H8422DQ1,CN-ASG6-892G,120,297.99,259.25,2026-07-20,2026-08-19
