ordinal,sku,asin,tier_count,target_regular,target_minimum,target_maximum,amazon_regular_current,amazon_minimum_current,amazon_maximum_current,amazon_offer_state,amazon_offer_current,amazon_expected_current_semantics,offer_classification,regular_action,minimum_action,maximum_action,promo_assignment,promo_arm,promo_discount_percent,promo_live_sale_value,promo_target_effective,promo_live_start_at,promo_live_end_at,promo_target_start_at,promo_target_end_at,promo_action,channelmax_status,channelmax_model_id,channelmax_model_name,channelmax_price_current,channelmax_minimum_current,channelmax_maximum_current,planned_price_wave,execution_status,failure_codes,blocker_codes
12,BH-AS7H-D4FV,B0H853MCYZ,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,66.98,66.98,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,KEEP,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,66.98,64.38,78.18,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
13,BH-ASTN-S4XJ,B0H83ZRNCS,24,76.99,66.95,76.99,72.14,66.95,76.99,OFFER,72.14,76.99,MISMATCH_CURRENT_SEMANTICS,SET_TO_TARGET,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,72.14,70.88,86.08,WAVE_1_EFFECTIVE_CUSTOMER_PRICE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_EFFECTIVE_CONSUMER_MISMATCH_CURRENT_SEMANTICS,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
14,BH-ASVY-CR8H,B0H83S368B,120,297.99,258.57,297.99,297.99,258.57,297.99,OFFER,297.99,297.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,259.25,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,297.99,284.4,345.34,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
15,BK-AS5Z-8UY5,B0H85JF1V1,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.14,77.88,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
16,BM-AS5J-3MQY,B0H83LSCQQ,90,252.99,219.57,252.99,271.91,219.57,252.99,NO_OFFER,,252.99,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,COUPON_13,A,13,,220.1,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,271.91,330.16,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
17,BQ-ASUE-NT37,B0H842HL49,24,76.99,66.95,76.99,70.88,66.95,76.99,OFFER,66.98,66.98,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,66.98,70.88,86.08,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
18,BX-AS5P-6WQV,B0H83NM5PX,120,297.99,258.57,297.99,366.91,258.57,297.99,NO_OFFER,,297.99,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,COUPON_13,A,13,,259.25,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,366.91,445.53,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
19,BY-ASY2-8UJJ,B0H83789KC,30,85.99,74.75,85.99,85.99,74.75,85.99,OFFER,85.99,85.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,74.81,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,85.99,76.26,92.6,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
20,CE-ASGK-ZRHM,B0H84651LM,24,76.99,66.95,76.99,79.39,66.95,76.99,NO_OFFER,,66.98,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,79.39,96.39,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
21,CK-ASUM-WT9W,B0H86PRTWS,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,72.88,88.51,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
22,CN-ASG6-892G,B0H8422DQ1,120,297.99,258.57,297.99,284.4,258.57,297.99,OFFER,259.25,259.25,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,259.25,259.25,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,259.25,284.4,345.34,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
23,DA-ASF0-D7RG,B0H83VBTLT,90,252.99,219.57,252.99,221.27,219.57,252.99,OFFER,220.1,220.1,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,220.1,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,220.1,221.27,268.69,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
24,DF-ASQT-BLUQ,B0H83FKSN6,45,130.99,114.27,130.99,114.59,114.27,130.99,OFFER,114.27,114.27,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_12,B,12,114.27,115.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,REVISE_VALUE_AND_WINDOW_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,114.27,114.59,139.15,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_VALUE_DIFFERS_FROM_V4_PROPOSAL|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
25,DP-ASQ6-ZPZU,B0H83Y8JH7,24,76.99,66.95,76.99,76.99,68.29,79.08,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,SET_TO_TARGET,SET_TO_TARGET,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,71.64,86.99,WAVE_2_GUARDRAILS_AND_OVERLAPPING_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
26,DY-AS8W-6MJG,B0H82MKPRJ,45,130.99,114.27,130.99,145.54,114.27,130.99,NO_OFFER,,130.99,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,COUPON_12,A,12,,115.27,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,145.54,176.73,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
27,EF-AS4A-JCLU,B0H83XB855,24,76.99,66.95,76.99,71.14,67.81,78.53,NO_OFFER,,66.98,NO_OFFER,SET_TO_TARGET,SET_TO_TARGET,SET_TO_TARGET,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,71.14,86.38,WAVE_2_GUARDRAILS_AND_OVERLAPPING_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
28,EJ-ASCD-8K87,B0H82PXWKS,90,252.99,219.57,252.99,223.14,219.57,252.99,OFFER,220.1,220.1,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,220.1,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,220.1,223.14,270.96,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
29,ER-ASRK-TPYQ,B0H84JH1WN,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,72.88,88.51,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
30,ES-AS8A-3W3M,B0H83D8TFQ,30,85.99,74.75,85.99,85.99,74.75,85.99,OFFER,85.99,85.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,74.81,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,85.99,76.88,93.36,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
31,EW-ASJ9-E79N,B0H82MT74H,30,85.99,74.75,85.99,76.88,74.75,85.99,OFFER,74.81,74.81,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,74.81,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,74.81,76.88,93.36,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
