ActualShippingCost	AmazonCategory	AmazonPrice	AmznFeaMAX	ASIN	BuyBoxRotation%	BuyBoxSellerID	BuyBoxShipping	BuyBoxTotal	ChildCount	CMaxItemID	CommissionAmt	CompetitorCount	EAN	EmployeeID	EmployeeName	FBA	FBATotalFee	FolderID	FolderName	IGotBuybox	InvProfileID	InvProfileName	InventoryClassID	IsMasterSKU	IsAmazon	IsBBox	IsFBA	IsLowest	IsOnlyMe	IsSelling	ItemCondition	ItemLocationID	ItemLocationName	ItemName	ItemThumbnail	ItemWight	KitSKU?	KitComponentCount	KitItemID	KitItemIDx	LeadTimeinAmzn	LeadTimeToShip	LotSize	Manufacturer	MAP	MarketPlaceID	MarketPlaceName	MasterSKU	MasterSKUControlsInv	MasterSKUQtyIsSumOfVariations	MaxSellingPrice	MinSellingPrice	MPN	MyCeiling	MyFloor	MyPrice	MyShipping	MyTotal	NewPrice	PurchaseCost	Quantity	RelatedASINs	ReorderQuantity	RepricingModelID	RepricingModelName	SalePrice	SalePriceEnd	SalePriceStart	SalesRank	SKU	SupplierSKU	UPC	VariableClosingFee	WhenAddedToCMax
	Grocery								0	151837611						N		1493335	AmznUS3-InvImp					N							New			Freshpet Select Tender Chicken Recipe For Small Dogs, 1 Lb (Pack of 6)	em4:I/51lqVCpd-5L._SL75_.jpg			0									Amzn US				69.9900	0.0000									444									1AIC-6CND-7AK4				7/1/2024 10:48:30 PM
	Grocery								0	151837614						N		1493335	AmznUS3-InvImp					N							New			Boursin Cheese with Garlic and Fine Herbs - Gournay Cheese - 5.2oz - (Pack of 2)	em4:I/51XUnOjUYNL._SL75_.jpg			0									Amzn US				19.9900	0.0000									425			59021	Manual min/max					1AIC-6CNE-ZNVC				7/1/2024 10:48:30 PM
	Grocery								0	155649558						N		1493335	AmznUS3-InvImp					N							New			Smucker�s Uncrustables Variety Pack- Smuckers Sandwich Peanut Butter & Strawberry Jam- Smucker�s Peanut Butter & Grape Jelly Sandwich - 6 Pack (3 Boxes of Each) - Ready Set Gourmet Donate a Meal Program	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				166.5000	0.0000									443									1AIC-6CNH-880G				12/13/2024 4:20:44 AM
	Grocery								0	155649559						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Tyson Grilled Sweet Teriyaki Flavored Chicken Fillets Fully Cooked (Pack of 3, 56 oz Each, 10.5 Lbs Total) - Frozen Meal Ready in Minutes - Asian Inspired Dish	em4:I/51xUh+-UANL._SL75_.jpg			0									Amzn US				159.2600	0.0000									444									1AIC-6CNH-8U91				12/13/2024 4:20:44 AM
	Grocery								0	155649560						N		1493335	AmznUS3-InvImp					N							New			Jimmy Dean Pancakes and Sausage on a stick! - Original Flavor - 24 sticks, 60 oz. - Perfect on the Go Breakfast - 6g of protein per serving	em4:I/41mF-fmMcoL._SL75_.jpg			0									Amzn US				84.9300	0.0000									444									1AIC-6CNJ-CPCP				12/13/2024 4:20:44 AM
	Grocery								0	155649561						N		1493335	AmznUS3-InvImp					N							New			Healthy Choice Combo Pack, Frozen Simply Chicken Broccoli Alfredo, Beef Teriyaki, Vegetarian Organic Creamy Spinach and Tomato Linguini and Caf� Steamers Frozen Grilled Chicken Marinara with Parmesan - 8 Boxes (2 Boxes of Each Flavor)	em4:I/61p-yZh3t5L._SL75_.jpg			0									Amzn US				97.5100	0.0000									444									1AIC-6CNJ-DIDG				12/13/2024 4:20:44 AM
	Grocery								0	155649562						N		1493335	AmznUS3-InvImp					N							New			OSCAR MAYER BACON CENTER CUT 12 OZ PACK OF 2	em4:I/51MOQRUmD6L._SL75_.jpg			0									Amzn US				62.8300	0.0000									444									1AIC-6CNJ-EB81				12/13/2024 4:20:44 AM
	Grocery								0	151837626						N		1493335	AmznUS3-InvImp					N							New			Boursin Garlic Herbs Cheese - Creamy, 5oz.	em4:I/5147L2odJ-L._SL75_.jpg			0									Amzn US				25.9500	0.0000									444									1AIC-6CNJ-EBTG				7/1/2024 10:48:31 PM
	Pet Products								0	155649563						N		1493335	AmznUS3-InvImp					N							New			Oscar Mayer Franks HOT Dogs Classic Weiners 16 OZ Pack of 3	em4:I/31sdXMimMoL._SL75_.jpg			0									Amzn US				51.8800	0.0000									443									1AIC-6CNL-2MPD				12/13/2024 4:20:44 AM
	Grocery								0	155832296						N		1493335	AmznUS3-InvImp					N							New			Smucker�s Uncrustables Variety Pack- Smuckers Sandwich Peanut Butter & Strawberry Jam- Smucker�s Peanut Butter & Grape Jelly Sandwich - 4 Pack (2 Boxes of Each) - Ready Set Gourmet Donate a Meal	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				117.3000	0.0000									442									1AIC-6CNN-8E4W				12/15/2024 9:08:28 PM
	Grocery								0	151837634						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Eggland's Best Omelettes | Three Cheese | 2 Boxes Total | 16 Omelettes Total | Frozen Breakfast	em4:I/311+-m1MedL._SL75_.jpg			0									Amzn US				102.8900	0.0000									444			59021	Manual min/max					1AIC-6CNN-8O1G				7/1/2024 10:48:31 PM
	Grocery								0	151837635						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Eggland's Best Omelettes - Three Cheese - 3 Boxes Total - 24 Omelettes Total - Frozen Breakfast - Ready Set Gourmet Donate a Meal Program	em4:I/11tC2vbKpFL._SL75_.jpg			0									Amzn US				139.9900	0.0000									444			59021	Manual min/max					1AIC-6CNN-8XFE				7/1/2024 10:48:31 PM
	Grocery								0	155649564						N		1493335	AmznUS3-InvImp					N							New			Smucker's Uncrustables, Peanut Butter and Grape, Wheat, 2.6 oz, (72 count)	em4:I/51yDuQktZnL._SL75_.jpg			0									Amzn US				213.5900	0.0000									444									1AIC-6CNP-4ASC				12/13/2024 4:20:44 AM
	Grocery								0	155649565						N		1493335	AmznUS3-InvImp					N							New			OSCAR MAYER BACON THICK CUT 16 OZ PACK OF 2	em4:I/31D3XUARUEL._SL75_.jpg			0									Amzn US				62.8300	0.0000									444									1AIC-6CNP-4G3Z				12/13/2024 4:20:44 AM
	Grocery								0	155649566						N		1493335	AmznUS3-InvImp					N							New			OSCAR MAYER SELECTS LUNCH MEAT COLD CUTS SLOW ROASTED ROAST BEEF 7 OZ PACK OF 3	em4:I/31HbpPR-puL._SL75_.jpg			0									Amzn US				62.0300	0.0000									444									1AIC-6CNR-D17K				12/13/2024 4:20:44 AM
	Grocery								0	155649567						N		1493335	AmznUS3-InvImp					N							New			Hillshire Farm Turkey Smoked Sausage 12 Oz (4 Pack)	em4:I/51-GW0UOMaL._SL75_.jpg			0									Amzn US				64.4600	0.0000									444									1AIC-6CNT-EKKR				12/13/2024 4:20:44 AM
	Grocery								0	155651936						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Member Mark Fully Cooked Wild Caught Gluten Free Snow Crab Legs and Claws | Tender, Juicy and Low Fat 1 bags, 2lbs total 1 Pack	em4:I/51otq8or0RS._SL75_.jpg			0									Amzn US				85.0000	0.0000									443									1AIC-6CNT-EO81				12/13/2024 7:13:06 AM
	Grocery								0	151837649						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Red Baron Deep Dish Pizza Singles, Variety Pack (4 Pack)	em4:I/418mW4k4W7L._SL75_.jpg			0									Amzn US				188.5400	0.0000									444			59021	Manual min/max					1AIC-6CNT-F7KV				7/1/2024 10:48:32 PM
	Grocery								0	155649568						N		1493335	AmznUS3-InvImp					N							New			Jimmy Dean Pancakes and Sausage on a stick! - Original Flavor - 48 sticks, 120 oz. - Perfect on the Go Breakfast - 6g of protein per serving	em4:I/41T+WLjThZL._SL75_.jpg			0									Amzn US				101.9000	0.0000									444									1AIC-6CNT-GAM6				12/13/2024 4:20:44 AM
	Health and Beauty								0	151837653						N		1493335	AmznUS3-InvImp					N							New			Salutem Vita Starfit Advanced Detox Cleanse, Natural Detox & Cleanse with Milk Thistle, Licorice Powder, and More, Body Cleanse Detox for Women and Men, 42 Capsules	em4:I/41DhTWEc7XL._SL75_.jpg			0									Amzn US				39.9000	0.0000									444			59021	Manual min/max					1AIC-6CNV-O8YM				7/1/2024 10:48:32 PM
	Grocery								0	155649569						N		1493335	AmznUS3-InvImp					N							New			JIMMY DEAN PORK BREAKFAST SAUSAGE PATTIES ORIGINAL 10 OZ PACK OF 3	em4:I/31G0K2hHA9L._SL75_.jpg			0									Amzn US				59.9900	0.0000									444									1AIC-6CNV-OEZN				12/13/2024 4:20:44 AM
	Grocery								0	155832297						N		1493335	AmznUS3-InvImp					N							New			Smucker�s Uncrustables Variety Pack- Smuckers Sandwich Peanut Butter & Strawberry Jam- Smucker�s Peanut Butter & Grape Jelly Sandwich - 8 Pack (4 Boxes of Each) - Ready Set Gourmet Donate a Meal Program	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				206.7600	0.0000									440									1AIC-6CNV-OR9Y				12/15/2024 9:08:28 PM
	Grocery								0	155832298						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Smucker's Uncrustables, Variety Pack | Peanut Butter & Strawberry Jam Sandwich with Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwich (60 Count)	em4:I/51bLMgjXV8L._SL75_.jpg			0									Amzn US				189.9800	0.0000									441									1AIC-6CNV-R87U				12/15/2024 9:08:28 PM
	Grocery								0	155649570						N		1493335	AmznUS3-InvImp					N							New			Crab Legs and Claws, Fully Cooked Gluten Free SnowTender, Juicy and Low Fat- 2 bags, 2lbs each, 4lbs total	em4:I/517dieoSd-L._SL75_.jpg			0									Amzn US				164.5900	0.0000									444									1AIC-6CNX-GD07				12/13/2024 4:20:44 AM
	Grocery								0	155651937						N		1493335	AmznUS3-InvImp					N							New			Smucker's Uncrustables Peanut Butter & Strawberry Jam 4 Soft Bread Sandwiches - No High Fructose Corn Syrup - 6 Pack & Ready Set Gourmet Donate A Meal Program Certificate	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				78.1000	0.0000									442									1AIC-6CNX-HRM2				12/13/2024 7:13:06 AM
	Grocery								0	155649571						N		1493335	AmznUS3-InvImp					N							New			Healthy Choice Cafe Steamers Asian Inspired Beef Teriyaki, 9.5 Ounce -- 8 per case.	em4:I/41ytMIUp5HL._SL75_.jpg			0									Amzn US				81.1900	0.0000									444									1AIC-6CNX-IMQ7				12/13/2024 4:20:44 AM
	Grocery								0	151837663						N		1493335	AmznUS3-InvImp					N							New			Arla Havarti and Gouda Cheese Snack Kit, 24/Pack (902-00032)	em4:I/51tzu5gVztL._SL75_.jpg			0									Amzn US				30.0000	0.0000									442									1AIC-6CNX-J20I				7/1/2024 10:48:32 PM
	Grocery								0	155649572						N		1493335	AmznUS3-InvImp					N							New			SuperPretzel Original fully Baked Soft Pretzels - Low fat - Ready in seconds - With Salt Pack Included - No HFCS and Ready Set Gourmet Donate A Meal Program - 6 Pack (13 oz, 6 ct Each)	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				86.2900	0.0000									440									1AIC-6CNX-JY1V				12/13/2024 4:20:44 AM
	Grocery								0	155649573						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Eggo Frozen Homestyle Waffles by Kellogg, Bulk, 3 Pack of 60 Each, 180 Total - Crispy and Fluffy Easy Preparation in the Toaster or Oven	em4:I/51981dtdLjS._SL75_.jpg			0									Amzn US				131.7700	0.0000									444									1AIC-6CNZ-D0O3				12/13/2024 4:20:44 AM
	Grocery								0	151837666						N		1493335	AmznUS3-InvImp					N							New			Jimmy Dean, Butcher Wrapped, Sausage & Biscuit, 3.5 oz (12 count)	em4:I/5169pAMAPXL._SL75_.jpg			0									Amzn US				61.3900	0.0000									444									1AIC-6CNZ-DBI3				7/1/2024 10:48:32 PM
	Pet Products								0	151837667						N		1493335	AmznUS3-InvImp					N							New			Freshpet Select Roll Small Wet Dog Chicken & Turkey Recipe Refrigerated Wet Dog Food - 3 Pack (3 / 1lb. Logs)	em4:I/41kCN4LsMGL._SL75_.jpg			0									Amzn US				49.9900	0.0000									169			59021	Manual min/max					1AIC-6CNZ-DSSM				7/1/2024 10:48:33 PM
	Grocery								0	155649574						N		1493335	AmznUS3-InvImp					N							New			Oscar Mayer Lunch Meat Cold CUTS Carving Board Slow Cooked HAM 7 OZ Pack of 3	em4:I/51WsMbplm0L._SL75_.jpg			0									Amzn US				59.0200	0.0000									444									1AIC-6CNZ-ET32				12/13/2024 4:20:44 AM
	Grocery								0	155649575						N		1493335	AmznUS3-InvImp					N							New			Gourmet Kitchn Red Baron Deep Dish Pizza Singles, Variety Pack | 36 Pizzas Total | 18 Cheese, 18 Pepperoni, 3 Pack	em4:I/31BcSu8F1nL._SL75_.jpg			0									Amzn US				188.8000	0.0000									444									1AIC-6CNZ-G19L				12/13/2024 4:20:44 AM
	Grocery								0	155649576						N		1493335	AmznUS3-InvImp					N							New			Healthy Choice Beef Merlot - Tender Beef Strips with Russet Potatoes and Vegetables - Gluten Free - No Preservatives - 8 Pack (9.5 Oz Each) - Ready Set Gourmet Donate a Meal Program	em4:I/41xYn5IXvLL._SL75_.jpg			0									Amzn US				109.9600	0.0000									443									1AIC-6CNZ-GQSI				12/13/2024 4:20:44 AM
	Beauty								0	151837672						N		1493335	AmznUS3-InvImp					N							New			Self-Tanning Body Bronzing Mist Travel Size	em4:I/41CeoOlm+PL._SL75_.jpg			0									Amzn US				13.8900	0.0000									439									1AIC-6CNZ-GY03				7/1/2024 10:48:33 PM
	Health and Beauty								0	151837673						N		1493335	AmznUS3-InvImp					N							New			Salutem Vita Advanced Detox Cleanse, Detox Kit with Test Cup, Natural Detox & Cleanse with Milk Thistle, Licorice Powder, and More, Body Cleanse Detox for Women and Men, 42 Capsules, 1 Pack	em4:I/41EERsk32lL._SL75_.jpg			0									Amzn US				39.9000	0.0000									444									1AIC-6CO2-1IKR				7/1/2024 10:48:33 PM
	Grocery								0	151837674						N		1493335	AmznUS3-InvImp					N							New			Pepperidge Farm Whole Grain 15 Grain Bread - 24 oz. (pack of 2)	em4:I/41joOpAXGFL._SL75_.jpg			0									Amzn US				18.7000	0.0000									403									1AIC-6CO2-259Z				7/1/2024 10:48:33 PM
	Grocery								0	155649577						N		1493335	AmznUS3-InvImp					N							New			OSCAR MAYER LUNCH MEAT COLD CUTS CARVING BOARD OVEN ROASTED TURKEY BREAST 7 OZ PACK OF 3	em4:I/41UQpPqvocL._SL75_.jpg			0									Amzn US				59.0800	0.0000									444									1AIC-6CO2-3GMH				12/13/2024 4:20:45 AM
	Kitchen								0	155832299						N		1493335	AmznUS3-InvImp					N							New			Salutem Vita - Premium Insulated Cooler Bags for Picnics and Shopping - Keep Your Food and Drinks Cold on the Go!	em4:I/41WsSdfowCL._SL75_.jpg			0									Amzn US				14.9900	0.0000									444									1AIC-6CO3-XF7F				12/15/2024 9:08:28 PM
	Grocery								0	155649578						N		1493335	AmznUS3-InvImp					N							New			Impossible Burger Patties - 19g of Protein - No Animal Hormones and Antibiotics - Gluten Free Certified - Halal, 4 -Pack (1/4lb Each) Ready Set Gourmet Donate a Meal Program	em4:I/31bV4oNAPoL._SL75_.jpg			0									Amzn US				142.6600	0.0000									444									1AIC-6CO3-XSW3				12/13/2024 4:20:45 AM
	Grocery								0	155649579						N		1493335	AmznUS3-InvImp					N							New			Birds Eye Steamfresh Mixed Vegetables, 10 Ounce - 10 per case.	em4:I/51Ehvrc+tnL._SL75_.jpg			0									Amzn US				97.7500	0.0000									444									1AIC-6CO6-8GLP				12/13/2024 4:20:45 AM
	Grocery								0	155649580						N		1493335	AmznUS3-InvImp					N							New			Smucker's Peanut Butter & Strawberry Jam Sandwich, Non GMO - 4 Pack (2 oz, 15 ct Each), Total 60 Sandwiches - Ready Set Gourmet Donate A Meal Program	em4:I/51AA6NOh+CL._SL75_.jpg			0									Amzn US				161.4300	0.0000									444									1AIC-6CO6-8ZBI				12/13/2024 4:20:45 AM
